[2025-04-22 11:48:25] SRC: 41.78.228.226: 24589 -> DST: 41.78.228.226: 36744 | Size: 86 bytes | TTL: 36 | Protocol: 1
[2025-04-22 11:48:26] SRC: 52.149.20.212: 51855 -> DST: 52.149.20.212: 443 | Size: 66 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:27] SRC: 0.0.0.0: 24588 -> DST: 0.0.0.0: 11611 | Size: 86 bytes | TTL:
ALLOWED: 38 | Protocol: 3
[2025-04-22 11:48:27] SRC: 52.149.20.212: 51855 -> DST: 52.149.20.212: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:28] SRC: 52.149.20.212: 51855 -> DST: 52.149.20.212: 443 | Size: 263 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:29] SRC: 52.149.20.212: 51855 -> DST: 52.149.20.212: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:30] SRC: 0.0.0.0: 24588 -> DST: 0.0.0.0: 11611 | Size: 86 bytes | TTL: 38 | Protocol: 3
[2025-04-22 11:48:31] SRC: 224.0.0.251: 5353 -> DST: 224.0.0.251: 5353 | Size: 119 bytes | TTL: 255 | Protocol: 17
[2025-04-22 11:48:32] SRC: 152.36.216.255: 24582 -> DST: 152.36.216.255: 60369 | Size: 139 bytes | TTL: 254 | Protocol: 128
[2025-04-22 11:48:32] SRC: 224.0.0.251: 5353 -> DST: 224.0.0.251: 5353 | Size: 417 bytes | TTL: 255 | Protocol: 17
[2025-04-22 11:48:33] SRC: 212.205.44.255: 24578 -> DST: 212.205.44.255: 9779 | Size: 437 bytes | TTL: 254 | Protocol: 128
[2025-04-22 11:48:34] SRC: 20.190.145.143: 51856 -> DST: 20.190.145.143:
ALLOWED: 443 | Size: 66 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:35] SRC: 20.190.145.143: 51856 -> DST: 20.190.145.143: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:36] SRC: 20.190.145.143: 51856 -> DST: 20.190.145.143: 443 | Size: 348 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:36] SRC: 20.190.145.143: 51856 -> DST: 20.190.145.143: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:37] SRC: 0.0.0.0: 24588 -> DST: 0.0.0.0: 11611 | Size: 86 bytes | TTL: 38 | Protocol: 3
[2025-04-22 11:48:38] SRC: 20.247.184.142: 51859 -> DST: 20.247.184.142: 443 | Size: 66 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:39] SRC: 20.247.184.142: 51858 -> DST: 20.247.184.142: 443 | Size: 66 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:40] SRC: 20.247.184.142: 51858 -> DST: 20.247.184.142: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:40] SRC: 20.247.184.142: 51858 -> DST: 20.247.184.142: 443 | Size: 360 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:42] SRC: 0.0.0.1:
ALLOWED: 24588 -> DST: 0.0.0.1: 11611 | Size: 86 bytes | TTL: 38 | Protocol: 3
[2025-04-22 11:48:45] SRC: 0.0.0.1: 24588 -> DST: 0.0.0.1: 11611 | Size: 74 bytes | TTL: 38 | Protocol: 3
[2025-04-22 11:48:47] SRC: 23.48.226.153: 51860 -> DST: 23.48.226.153: 443 | Size: 66 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:48] SRC: 23.48.226.153: 51860 -> DST: 23.48.226.153: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:48] SRC: 23.48.226.153: 51860 -> DST: 23.48.226.153: 443 | Size: 260 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:49] SRC: 23.48.226.153: 51860 -> DST: 23.48.226.153: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
[2025-04-22 11:48:51] SRC: 128.218.0.0: 1 -> DST: 128.218.0.0: 2048 | Size: 42 bytes | TTL: 214 | Protocol: 205
[2025-04-22 11:48:52] SRC: 128.216.214.205: 1 -> DST: 128.216.214.205: 2048 | Size: 42 bytes | TTL: 216 | Protocol: 128
ALLOWED: [2025-04-22 11:54:25] SRC: 184.26.54.178: 51832 -> DST: 184.26.54.178: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:54:27] SRC: 40.99.8.226: 51683 -> DST: 40.99.8.226: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:54:30] SRC: 192.168.128.4: 2048 -> DST: 192.168.128.4: 19796 | Size: 74 bytes | TTL: 128 | Protocol: 1
ALLOWED: [2025-04-22 11:54:31] SRC: 192.168.128.216: 0 -> DST: 192.168.128.216: 21844 | Size: 74 bytes | TTL: 64 | Protocol: 1
ALLOWED: [2025-04-22 11:54:33] SRC: 192.168.128.4: 2048 -> DST: 192.168.128.4: 19795 | Size: 74 bytes | TTL: 128 | Protocol: 1
ALLOWED: [2025-04-22 11:54:34] SRC: 192.168.128.216: 0 -> DST: 192.168.128.216: 21843 | Size: 74 bytes | TTL: 64 | Protocol: 1
ALLOWED: [2025-04-22 11:54:34] SRC: 192.168.128.4: 2048 -> DST: 192.168.128.4: 19794 | Size: 74 bytes | TTL: 128 | Protocol: 1
ALLOWED: [2025-04-22 11:54:35] SRC: 192.168.128.216: 0 -> DST: 192.168.128.216: 21842 | Size: 74 bytes | TTL: 64 | Protocol: 1
ALLOWED: [2025-04-22 11:54:36] SRC: 192.168.128.4: 2048 -> DST: 192.168.128.4: 19793 | Size: 74 bytes | TTL: 128 | Protocol: 1
ALLOWED: [2025-04-22 11:54:37] SRC: 192.168.128.216: 0 -> DST: 192.168.128.216: 21841 | Size: 74 bytes | TTL: 64 | Protocol: 1
ALLOWED: [2025-04-22 11:54:39] SRC: 224.0.0.251: 5353 -> DST: 224.0.0.251: 5353 | Size: 119 bytes | TTL: 255 | Protocol: 17
ALLOWED: [2025-04-22 11:54:39] SRC: 152.36.216.255: 24582 -> DST: 152.36.216.255: 60369 | Size: 139 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-22 11:54:40] SRC: 128.4.0.0: 1 -> DST: 128.4.0.0: 2048 | Size: 42 bytes | TTL: 154 | Protocol: 36
ALLOWED: [2025-04-22 11:54:41] SRC: 128.216.154.36: 1 -> DST: 128.216.154.36: 2048 | Size: 42 bytes | TTL: 216 | Protocol: 128
ALLOWED: [2025-04-22 11:54:45] SRC: 41.78.228.226: 24591 -> DST: 41.78.228.226: 13413 | Size: 116 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-22 11:54:46] SRC: 0.0.0.0: 24587 -> DST: 0.0.0.0: 37500 | Size: 247 bytes | TTL: 38 | Protocol: 3
ALLOWED: [2025-04-22 11:54:47] SRC: 41.78.228.226: 24591 -> DST: 41.78.228.226: 13413 | Size: 74 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-22 11:54:48] SRC: 40.99.8.226: 51684 -> DST: 40.99.8.226: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:54:50] SRC: 26.50.173.17: 24576 -> DST: 26.50.173.17: 0 | Size: 86 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-22 11:54:52] SRC: 26.50.173.17: 24576 -> DST: 26.50.173.17: 0 | Size: 86 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-22 11:54:53] SRC: 212.205.44.255: 24576 -> DST: 212.205.44.255: 0 | Size: 78 bytes | TTL: 254 | Protocol: 128
ALLOWED: [2025-04-22 11:54:54] SRC: 128.216.214.205: 1 -> DST: 128.216.214.205: 2048 | Size: 42 bytes | TTL: 216 | Protocol: 128
ALLOWED: [2025-04-22 11:54:54] SRC: 128.218.216.128: 1 -> DST: 128.218.216.128: 2048 | Size: 42 bytes | TTL: 214 | Protocol: 205
ALLOWED: [2025-04-22 11:55:43] SRC: 192.168.128.216: 443 -> DST: 192.168.128.216: 51874 | Size: 78 bytes | TTL: 59 | Protocol: 6
ALLOWED: [2025-04-22 11:55:44] SRC: 192.168.128.216: 443 -> DST: 192.168.128.216: 51874 | Size: 54 bytes | TTL: 59 | Protocol: 6
[2025-04-22 11:55:44] SRC: 184.26.54.178: 51874 -> DST: 184.26.54.178: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:55:46] SRC: 192.168.128.216: 443 -> DST: 192.168.128.216: 51880 | Size: 54 bytes | TTL: 114 | Protocol: 6
ALLOWED: [2025-04-22 11:55:47] SRC: 20.189.173.10: 51885 -> DST: 20.189.173.10: 443 | Size: 55 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:55:48] SRC: 192.168.128.216: 443 -> DST: 192.168.128.216: 51885 | Size: 66 bytes | TTL: 104 | Protocol: 6
ALLOWED: [2025-04-22 11:55:50] SRC: 0.0.0.0: 24589 -> DST: 0.0.0.0: 11006 | Size: 74 bytes | TTL: 38 | Protocol: 32
ALLOWED: [2025-04-22 11:55:50] SRC: 128.218.0.0: 1 -> DST: 128.218.0.0: 2048 | Size: 42 bytes | TTL: 214 | Protocol: 205
ALLOWED: [2025-04-22 11:55:51] SRC: 128.216.214.205: 1 -> DST: 128.216.214.205: 2048 | Size: 42 bytes | TTL: 216 | Protocol: 128
ALLOWED: [2025-04-22 11:55:53] SRC: 192.168.128.218: 60927 -> DST: 192.168.128.218: 53 | Size: 92 bytes | TTL: 128 | Protocol: 17
ALLOWED: [2025-04-22 11:55:54] SRC: 192.168.128.218: 51171 -> DST: 192.168.128.218: 53 | Size: 92 bytes | TTL: 128 | Protocol: 17
ALLOWED: [2025-04-22 11:55:55] SRC: 40.79.197.35: 51892 -> DST: 40.79.197.35: 443 | Size: 66 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:55:55] SRC: 40.79.197.35: 51892 -> DST: 40.79.197.35: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:55:56] SRC: 40.79.197.35: 51892 -> DST: 40.79.197.35: 443 | Size: 443 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:55:57] SRC: 40.79.197.35: 51892 -> DST: 40.79.197.35: 443 | Size: 54 bytes | TTL: 128 | Protocol: 6
ALLOWED: [2025-04-22 11:55:58] SRC: 41.78.228.226: 24587 -> DST: 41.78.228.226: 50180 | Size: 175 bytes | TTL: 36 | Protocol: 1
ALLOWED: [2025-04-22 11:55:59] SRC: 0.0.0.0: 60827 -> DST: 0.0.0.0: 40482 | Size: 245 bytes | TTL: 38 | Protocol: 3
ALLOWED: [2025-04-22 11:55:59] SRC: 41.78.228.226: 24587 -> DST: 41.78.228.226: 50180 | Size: 74 bytes | TTL: 36 | Protocol: 1
BLOCKED: [2025-04-22 11:56:01] SRC: 192.168.128.4: 2048 -> DST: 192.168.128.4: 19788 | Size: 74 bytes | TTL: 128 | Protocol: 1
ALLOWED: [2025-04-22 11:56:02] SRC: 224.0.0.251: 5353 -> DST: 224.0.0.251: 5353 | Size: 119 bytes | TTL: 255 | Protocol: 17
ALLOWED: [2025-04-22 11:56:03] SRC: 152.36.216.255: 24582 -> DST: 152.36.216.255: 60369 | Size: 139 bytes | TTL: 254 | Protocol: 128
